start_date,end_date,sales,customer,status,product,revenue
1/1/2019,1/10/2019,S57,C769,closed,Versa Credit Protection,3200000
1/1/2019,1/10/2019,S58,C412,closed,Pru Accident Guard,9500000
1/1/2019,1/10/2019,S3,C950,offering,Credit Life Insurance,8800000
1/1/2019,1/10/2019,S6,C973,offering,Prumortgage Protection,3200000
1/1/2019,1/10/2019,S92,C95,identified,Indonesian Fire Insurance Standard Policy,4900000
1/1/2019,1/10/2019,S4,C893,negotiation,Credit Life Insurance,7000000
1/1/2019,1/10/2019,S36,C678,offering,Pru Accident Cover,7700000
1/1/2019,1/10/2019,S57,C851,initial,Smart Life Protection,600000
1/1/2019,1/10/2019,S43,C469,initial,Credit Life Insurance,5100000
1/1/2019,1/10/2019,S49,C91,closed,Pru Accident Guard Plus,1000000
1/1/2019,1/10/2019,S89,C337,identified,Pru Accident Guard,8900000
1/1/2019,1/10/2019,S65,C86,negotiation,Pru Accident Guard,3400000
1/1/2019,1/10/2019,S10,C381,drop,Pru Accident Cover,300000
1/1/2019,1/10/2019,S90,C545,drop,Smart Protection Mortgage,3700000
1/1/2019,1/10/2019,S59,C355,identified,Versa Credit Protection,9800000
1/1/2019,1/10/2019,S58,C619,closed,Injuries Protection (AIG),3600000
1/1/2019,1/10/2019,S75,C67,identified,Pru Accident Guard Plus,500000
1/1/2019,1/10/2019,S28,C880,identified,Versa Credit Protection,9700000
1/1/2019,1/10/2019,S58,C150,negotiation,Indonesian Fire Insurance Standard Policy,5900000
1/1/2019,1/10/2019,S50,C109,negotiation,Smart Protection Mortgage,3800000
1/1/2019,1/11/2019,S4,C82,drop,Indonesian Fire Insurance Standard Policy,6500000
1/1/2019,1/11/2019,S42,C1,negotiation,Indonesian Fire Insurance Standard Policy,9800000
1/1/2019,1/11/2019,S72,C280,identified,Pru Accident Cover,8800000
1/1/2019,1/11/2019,S21,C632,identified,Indonesian Fire Insurance Standard Policy,1800000
1/1/2019,1/11/2019,S12,C423,drop,Smart Protection Mortgage,3700000
1/1/2019,1/11/2019,S23,C300,negotiation,Pru Accident Cover,2700000
1/1/2019,1/11/2019,S62,C699,initial,Smart Life Protection,1800000
1/1/2019,1/11/2019,S32,C126,drop,Versa Credit Protection,5800000
1/2/2019,1/11/2019,S72,C354,negotiation,Pru Accident Guard,3100000
1/2/2019,1/11/2019,S3,C505,negotiation,Personal Belongings Protection,2900000
1/2/2019,1/11/2019,S46,C395,closed,Prumortgage Protection,1200000
1/2/2019,1/11/2019,S82,C380,identified,Indonesian Fire Insurance Standard Policy,1500000
1/2/2019,1/11/2019,S95,C707,drop,Personal Belongings Protection,9000000
1/2/2019,1/11/2019,S63,C448,identified,Prumortgage Protection,3700000
1/2/2019,1/11/2019,S59,C412,identified,Credit Life Insurance,3700000
1/2/2019,1/11/2019,S40,C937,negotiation,Prumortgage Protection,8400000
1/2/2019,1/11/2019,S78,C146,closed,Indonesian Fire Insurance Standard Policy,4200000
1/2/2019,1/11/2019,S45,C200,offering,Smart Protection Mortgage,900000
1/2/2019,1/11/2019,S83,C579,drop,Prumortgage Protection,6000000
1/2/2019,1/11/2019,S30,C904,offering,Indonesian Fire Insurance Standard Policy,1100000
1/2/2019,1/11/2019,S87,C759,identified,Credit Life Insurance,500000
1/2/2019,1/11/2019,S32,C516,drop,Prumortgage Protection,2700000
1/2/2019,1/11/2019,S27,C738,closed,Personal Belongings Protection,5600000
1/2/2019,1/11/2019,S69,C78,closed,Smart Life Protection,1700000
1/2/2019,1/11/2019,S26,C765,offering,Indonesian Fire Insurance Standard Policy,5200000
1/2/2019,1/11/2019,S15,C592,closed,Injuries Protection (AIG),9900000
1/2/2019,1/11/2019,S17,C686,offering,Personal Belongings Protection,2500000
1/2/2019,1/11/2019,S26,C251,negotiation,Pru Accident Guard,9200000
1/2/2019,1/11/2019,S81,C155,drop,Pru Accident Guard,4600000
1/2/2019,1/11/2019,S25,C508,offering,Injuries Protection (AIG),9800000
1/2/2019,1/11/2019,S61,C550,initial,Smart Protection Mortgage,6400000
1/2/2019,1/11/2019,S40,C986,drop,Versa Credit Protection,5400000
1/2/2019,1/11/2019,S93,C40,initial,Smart Life Protection,7800000
1/3/2019,1/12/2019,S65,C945,drop,Personal Belongings Protection,8300000
1/3/2019,1/12/2019,S91,C753,negotiation,Personal Belongings Protection,3600000
1/3/2019,1/12/2019,S100,C790,closed,Indonesian Fire Insurance Standard Policy,6400000
1/3/2019,1/12/2019,S6,C833,identified,Smart Protection Mortgage,7200000
1/3/2019,1/12/2019,S84,C321,offering,Personal Belongings Protection,3900000
1/3/2019,1/12/2019,S79,C421,drop,Prumortgage Protection,3400000
1/3/2019,1/12/2019,S34,C359,closed,Pru Accident Guard,8400000
1/3/2019,1/12/2019,S64,C839,drop,Pru Accident Guard,2700000
1/3/2019,1/12/2019,S6,C869,offering,Pru Accident Guard,8200000
1/3/2019,1/12/2019,S91,C100,initial,Versa Credit Protection,9800000
1/3/2019,1/12/2019,S46,C662,identified,Indonesian Fire Insurance Standard Policy,5500000
1/3/2019,1/12/2019,S27,C460,initial,Indonesian Fire Insurance Standard Policy,4200000
